"id","codigo","descricao"
"__export__.sped_cnae_73","0161001","SERVIÇO DE PULVERIZAÇÃO E CONTROLE DE PRAGAS AGRÍCOLAS"
"__export__.sped_cnae_74","0161002","SERVIÇO DE PODA DE ÁRVORES PARA LAVOURAS"
"__export__.sped_cnae_75","0161003","SERVIÇO DE PREPARAÇÃO DE TERRENO, CULTIVO E COLHEITA"
"__export__.sped_cnae_76","0161099","ATIVIDADES DE APOIO À AGRICULTURA NÃO ESPECIFICADAS ANTERIORMENTE"
"__export__.sped_cnae_77","0162801","SERVIÇO DE INSEMINAÇÃO ARTIFICIAL EM ANIMAIS"
"__export__.sped_cnae_78","0162802","SERVIÇO DE TOSQUIAMENTO DE OVINOS"
"__export__.sped_cnae_79","0162803","SERVIÇO DE MANEJO DE ANIMAIS"
"__export__.sped_cnae_80","0162899","ATIVIDADES DE APOIO À PECUÁRIA NÃO ESPECIFICADAS ANTERIORMENTE"
"__export__.sped_cnae_81","0163600","ATIVIDADES DE PÓS-COLHEITA"
"__export__.sped_cnae_82","0170900","CAÇA E SERVIÇOS RELACIONADOS"
"__export__.sped_cnae_83","0210101","CULTIVO DE EUCALIPTO"
"__export__.sped_cnae_84","0210102","CULTIVO DE ACÁCIA-NEGRA"
"__export__.sped_cnae_85","0210103","CULTIVO DE PINUS"
"__export__.sped_cnae_86","0210104","CULTIVO DE TECA"
"__export__.sped_cnae_87","0210105","CULTIVO DE ESPÉCIES MADEIREIRAS, EXCETO EUCALIPTO, ACÁCIA-NEGRA, PINUS E TECA"
"__export__.sped_cnae_88","0210106","CULTIVO DE MUDAS EM VIVEIROS FLORESTAIS"
"__export__.sped_cnae_89","0210107","EXTRAÇÃO DE MADEIRA EM FLORESTAS PLANTADAS"
"__export__.sped_cnae_90","0210108","PRODUÇÃO DE CARVÃO VEGETAL - FLORESTAS PLANTADAS"
"__export__.sped_cnae_91","0210109","PRODUÇÃO DE CASCA DE ACÁCIA-NEGRA - FLORESTAS PLANTADAS"
"__export__.sped_cnae_92","0210199","PRODUÇÃO DE PRODUTOS NÃO-MADEIREIROS NÃO ESPECIFICADOS ANTERIORMENTE EM FLORESTAS PLANTADAS"
"__export__.sped_cnae_93","0220901","EXTRAÇÃO DE MADEIRA EM FLORESTAS NATIVAS"
"__export__.sped_cnae_94","0220902","PRODUÇÃO DE CARVÃO VEGETAL - FLORESTAS NATIVAS"
"__export__.sped_cnae_95","0220903","COLETA DE CASTANHA-DO-PARÁ EM FLORESTAS NATIVAS"
"__export__.sped_cnae_96","0220904","COLETA DE LÁTEX EM FLORESTAS NATIVAS"
"__export__.sped_cnae_97","0220905","COLETA DE PALMITO EM FLORESTAS NATIVAS"
"__export__.sped_cnae_98","0220906","CONSERVAÇÃO DE FLORESTAS NATIVAS"
"__export__.sped_cnae_99","0220999","COLETA DE PRODUTOS NÃO-MADEIREIROS NÃO ESPECIFICADOS ANTERIORMENTE EM FLORESTAS NATIVAS"
"__export__.sped_cnae_100","0230600","ATIVIDADES DE APOIO À PRODUÇÃO FLORESTAL"
"__export__.sped_cnae_101","0311601","PESCA DE PEIXES EM ÁGUA SALGADA"
"__export__.sped_cnae_102","0311602","PESCA DE CRUSTÁCEOS E MOLUSCOS EM ÁGUA SALGADA"
"__export__.sped_cnae_103","0311603","COLETA DE OUTROS PRODUTOS MARINHOS"
"__export__.sped_cnae_104","0311604","ATIVIDADES DE APOIO À PESCA EM ÁGUA SALGADA"
"__export__.sped_cnae_105","0312401","PESCA DE PEIXES EM ÁGUA DOCE"
"__export__.sped_cnae_106","0312402","PESCA DE CRUSTÁCEOS E MOLUSCOS EM ÁGUA DOCE"
"__export__.sped_cnae_107","0312403","COLETA DE OUTROS PRODUTOS AQUÁTICOS DE ÁGUA DOCE"
"__export__.sped_cnae_108","0312404","ATIVIDADES DE APOIO À PESCA EM ÁGUA DOCE"
"__export__.sped_cnae_109","0321301","CRIAÇÃO DE PEIXES EM ÁGUA SALGADA E SALOBRA"
"__export__.sped_cnae_110","0321302","CRIAÇÃO DE CAMARÕES EM ÁGUA SALGADA E SALOBRA"
"__export__.sped_cnae_111","0321303","CRIAÇÃO DE OSTRAS E MEXILHÕES EM ÁGUA SALGADA E SALOBRA"
"__export__.sped_cnae_112","0321304","CRIAÇÃO DE PEIXES ORNAMENTAIS EM ÁGUA SALGADA E SALOBRA"
"__export__.sped_cnae_113","0321305","ATIVIDADES DE APOIO À AQÜICULTURA EM ÁGUA SALGADA E SALOBRA"
"__export__.sped_cnae_114","0321399","CULTIVOS E SEMICULTIVOS DA AQÜICULTURA EM ÁGUA SALGADA E SALOBRA NÃO ESPECIFICADOS ANTERIORMENTE"
"__export__.sped_cnae_115","0322101","CRIAÇÃO DE PEIXES EM ÁGUA DOCE"
"__export__.sped_cnae_116","0322102","CRIAÇÃO DE CAMARÕES EM ÁGUA DOCE"
"__export__.sped_cnae_117","0322103","CRIAÇÃO DE OSTRAS E MEXILHÕES EM ÁGUA DOCE"
"__export__.sped_cnae_118","0322104","CRIAÇÃO DE PEIXES ORNAMENTAIS EM ÁGUA DOCE"
"__export__.sped_cnae_119","0322105","RANICULTURA"
"__export__.sped_cnae_120","0322106","CRIAÇÃO DE JACARÉ"
"__export__.sped_cnae_121","0322107","ATIVIDADES DE APOIO À AQÜICULTURA EM ÁGUA DOCE"
"__export__.sped_cnae_122","0322199","CULTIVOS E SEMICULTIVOS DA AQÜICULTURA EM ÁGUA DOCE NÃO ESPECIFICADOS ANTERIORMENTE"
"__export__.sped_cnae_123","0500301","EXTRAÇÃO DE CARVÃO MINERAL"
"__export__.sped_cnae_124","0500302","BENEFICIAMENTO DE CARVÃO MINERAL"
"__export__.sped_cnae_125","0600001","EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL"
"__export__.sped_cnae_126","0600002","EXTRAÇÃO E BENEFICIAMENTO DE XISTO"
"__export__.sped_cnae_127","0600003","EXTRAÇÃO E BENEFICIAMENTO DE AREIAS BETUMINOSAS"
"__export__.sped_cnae_128","0710301","EXTRAÇÃO DE MINÉRIO DE FERRO"
"__export__.sped_cnae_129","0710302","PELOTIZAÇÃO, SINTERIZAÇÃO E OUTROS BENEFICIAMENTOS DE MINÉRIO DE FERRO"
"__export__.sped_cnae_130","0721901","EXTRAÇÃO DE MINÉRIO DE ALUMÍNIO"
"__export__.sped_cnae_131","0721902","BENEFICIAMENTO DE MINÉRIO DE ALUMÍNIO"
"__export__.sped_cnae_132","0722701","EXTRAÇÃO DE MINÉRIO DE ESTANHO"
"__export__.sped_cnae_133","0722702","BENEFICIAMENTO DE MINÉRIO DE ESTANHO"
"__export__.sped_cnae_134","0723501","EXTRAÇÃO DE MINÉRIO DE MANGANÊS"
"__export__.sped_cnae_135","0723502","BENEFICIAMENTO DE MINÉRIO DE MANGANÊS"
"__export__.sped_cnae_136","0724301","EXTRAÇÃO DE MINÉRIO DE METAIS PRECIOSOS"
"__export__.sped_cnae_137","0724302","BENEFICIAMENTO DE MINÉRIO DE METAIS PRECIOSOS"
"__export__.sped_cnae_138","0725100","EXTRAÇÃO DE MINERAIS RADIOATIVOS"
"__export__.sped_cnae_139","0729401","EXTRAÇÃO DE MINÉRIOS DE NIÓBIO E TITÂNIO"
"__export__.sped_cnae_140","0729402","EXTRAÇÃO DE MINÉRIO DE TUNGSTÊNIO"
"__export__.sped_cnae_141","0729403","EXTRAÇÃO DE MINÉRIO DE NÍQUEL"
"__export__.sped_cnae_142","0729404","EXTRAÇÃO DE MINÉRIOS DE COBRE, CHUMBO, ZINCO E OUTROS MINERAIS METÁLICOS NÃO-FERROSOS NÃO ESPECIFICADOS ANTERIORMENTE"
"__export__.sped_cnae_143","0729405","BENEFICIAMENTO DE MINÉRIOS DE COBRE, CHUMBO, ZINCO E OUTROS MINERAIS METÁLICOS NÃO-FERROSOS NÃO ESPECIFICADOS ANTERIORMENTE"
"__export__.sped_cnae_144","0810001","EXTRAÇÃO DE ARDÓSIA E BENEFICIAMENTO ASSOCIADO"
"__export__.sped_cnae_145","0810002","EXTRAÇÃO DE GRANITO E BENEFICIAMENTO ASSOCIADO"
"__export__.sped_cnae_146","0810003","EXTRAÇÃO DE MÁRMORE E BENEFICIAMENTO ASSOCIADO"
"__export__.sped_cnae_147","0810004","EXTRAÇÃO DE CALCÁRIO E DOLOMITA E BENEFICIAMENTO ASSOCIADO"
"__export__.sped_cnae_148","0810005","EXTRAÇÃO DE GESSO E CAULIM"
"__export__.sped_cnae_149","0810006","EXTRAÇÃO DE AREIA, CASCALHO OU PEDREGULHO E BENEFICIAMENTO ASSOCIADO"
"__export__.sped_cnae_150","0810007","EXTRAÇÃO DE ARGILA E BENEFICIAMENTO ASSOCIADO"
"__export__.sped_cnae_151","0810008","EXTRAÇÃO DE SAIBRO E BENEFICIAMENTO ASSOCIADO"
"__export__.sped_cnae_152","0810009","EXTRAÇÃO DE BASALTO E BENEFICIAMENTO ASSOCIADO"
"__export__.sped_cnae_153","0810010","BENEFICIAMENTO DE GESSO E CAULIM ASSOCIADO À EXTRAÇÃO"
"__export__.sped_cnae_154","0810099","EXTRAÇÃO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUÇÃO E BENEFICIAMENTO ASSOCIADO"
"__export__.sped_cnae_155","0891600","EXTRAÇÃO DE MINERAIS PARA FABRICAÇÃO DE ADUBOS, FERTILIZANTES E OUTROS PRODUTOS QUÍMICOS"
"__export__.sped_cnae_156","0892401","EXTRAÇÃO DE SAL MARINHO"
"__export__.sped_cnae_157","0892402","EXTRAÇÃO DE SAL-GEMA"
"__export__.sped_cnae_158","0892403","REFINO E OUTROS TRATAMENTOS DO SAL"
"__export__.sped_cnae_159","0893200","EXTRAÇÃO DE GEMAS (PEDRAS PRECIOSAS E SEMIPRECIOSAS)"
"__export__.sped_cnae_160","0899101","EXTRAÇÃO DE GRAFITA"
"__export__.sped_cnae_161","0899102","EXTRAÇÃO DE QUARTZO"
"__export__.sped_cnae_162","0899103","EXTRAÇÃO DE AMIANTO"
"__export__.sped_cnae_163","0899199","EXTRAÇÃO DE OUTROS MINERAIS NÃO-METÁLICOS NÃO ESPECIFICADOS ANTERIORMENTE"
"__export__.sped_cnae_164","0910600","ATIVIDADES DE APOIO À EXTRAÇÃO DE PETRÓLEO E GÁS NATURAL"
"__export__.sped_cnae_165","0990401","ATIVIDADES DE APOIO À EXTRAÇÃO DE MINÉRIO DE FERRO"
"__export__.sped_cnae_166","0990402","ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS METÁLICOS NÃO-FERROSOS"
"__export__.sped_cnae_167","0990403","ATIVIDADES DE APOIO À EXTRAÇÃO DE MINERAIS NÃO-METÁLICOS"
"__export__.sped_cnae_168","1011201","FRIGORÍFICO - ABATE DE BOVINOS"
"__export__.sped_cnae_169","1011202","FRIGORÍFICO - ABATE DE EQÜINOS"
"__export__.sped_cnae_170","1011203","FRIGORÍFICO - ABATE DE OVINOS E CAPRINOS"
"__export__.sped_cnae_171","1011204","FRIGORÍFICO - ABATE DE BUFALINOS"
"__export__.sped_cnae_172","1011205","MATADOURO - ABATE DE RESES SOB CONTRATO, EXCETO ABATE DE SUÍNOS"
"__export__.sped_cnae_173","1012101","ABATE DE AVES"
"__export__.sped_cnae_174","1012102","ABATE DE PEQUENOS ANIMAIS"
"__export__.sped_cnae_175","1012103","FRIGORÍFICO - ABATE DE SUÍNOS"
"__export__.sped_cnae_176","1012104","MATADOURO - ABATE DE SUÍNOS SOB CONTRATO"
"__export__.sped_cnae_177","1013901","FABRICAÇÃO DE PRODUTOS DE CARNE"
"__export__.sped_cnae_178","1013902","PREPARAÇÃO DE SUBPRODUTOS DO ABATE"
"__export__.sped_cnae_179","1020101","PRESERVAÇÃO DE PEIXES, CRUSTÁCEOS E MOLUSCOS"
"__export__.sped_cnae_180","1020102","FABRICAÇÃO DE CONSERVAS DE PEIXES, CRUSTÁCEOS E MOLUSCOS"
"__export__.sped_cnae_181","1031700","FABRICAÇÃO DE CONSERVAS DE FRUTAS"
"__export__.sped_cnae_182","1032501","FABRICAÇÃO DE CONSERVAS DE PALMITO"
"__export__.sped_cnae_183","1032599","FABRICAÇÃO DE CONSERVAS DE LEGUMES E OUTROS VEGETAIS, EXCETO PALMITO"
"__export__.sped_cnae_184","1033301","FABRICAÇÃO DE SUCOS CONCENTRADOS DE FRUTAS, HORTALIÇAS E LEGUMES"
"__export__.sped_cnae_185","1033302","FABRICAÇÃO DE SUCOS DE FRUTAS, HORTALIÇAS E LEGUMES, EXCETO CONCENTRADOS"
"__export__.sped_cnae_186","1041400","FABRICAÇÃO DE ÓLEOS VEGETAIS EM BRUTO, EXCETO ÓLEO DE MILHO"
"__export__.sped_cnae_187","1042200","FABRICAÇÃO DE ÓLEOS VEGETAIS REFINADOS, EXCETO ÓLEO DE MILHO"
"__export__.sped_cnae_188","1043100","FABRICAÇÃO DE MARGARINA E OUTRAS GORDURAS VEGETAIS E DE ÓLEOS NÃO-COMESTÍVEIS DE ANIMAIS"
"__export__.sped_cnae_189","1051100","PREPARAÇÃO DO LEITE"
"__export__.sped_cnae_190","1052000","FABRICAÇÃO DE LATICÍNIOS"
"__export__.sped_cnae_191","1053800","FABRICAÇÃO DE SORVETES E OUTROS GELADOS COMESTÍVEIS"
"__export__.sped_cnae_192","1061901","BENEFICIAMENTO DE ARROZ"
"__export__.sped_cnae_193","1061902","FABRICAÇÃO DE PRODUTOS DO ARROZ"
"__export__.sped_cnae_194","1062700","MOAGEM DE TRIGO E FABRICAÇÃO DE DERIVADOS"
"__export__.sped_cnae_195","1063500","FABRICAÇÃO DE FARINHA DE MANDIOCA E DERIVADOS"
"__export__.sped_cnae_196","1064300","FABRICAÇÃO DE FARINHA DE MILHO E DERIVADOS, EXCETO ÓLEOS DE MILHO"
