"id","iso_code","code","name","date_format","time_format","decimal_point","grouping","thousands_sep"
"base.lang_en","","en_US","English","%Y-%m-%d","%H:%M:%S",".","[3]",","
"__export__.res_lang_2","pt_BR","pt_BR","Portugese (BR) / Português (BR)","%d/%m/%Y","%H:%M:%S",",","[3]","."
