"id","codigo","ocupacao"
"__export__.hr_cbo_17993","241205","Advogado da união"
"__export__.hr_cbo_17980","241010","Advogado de empresa"
"__export__.hr_cbo_11265","241030","Advogado (desportivo)"
"__export__.hr_cbo_11260","241020","Advogado (direito administrativo)"
"__export__.hr_cbo_17986","241015","Advogado (direito civil)"
"__export__.hr_cbo_11254","241015","Advogado (direito de família e sucessões)"
"__export__.hr_cbo_17982","241035","Advogado (direito do trabalho)"
"__export__.hr_cbo_11274","241030","Advogado (direito internacional)"
"__export__.hr_cbo_17984","241025","Advogado (direito penal)"
"__export__.hr_cbo_17985","241020","Advogado (direito público)"
"__export__.hr_cbo_11268","241030","Advogado (direitos da criança e do adolescente)"
"__export__.hr_cbo_11269","241030","Advogado (direitos do consumidor)"
"__export__.hr_cbo_11251","241010","Advogado empresarial"
"__export__.hr_cbo_11266","241030","Advogado (energia elétrica)"
"__export__.hr_cbo_11257","241020","Advogado fiscal (direito fiscal)"
"__export__.hr_cbo_11249","241005","Advogado generalista"
"__export__.hr_cbo_11259","241020","Advogado previdenciário"
"__export__.hr_cbo_11271","241030","Advogado (propriedade intelectual)"
"__export__.hr_cbo_11273","241030","Advogado (recursos hídricos e minerais)"
"__export__.hr_cbo_11278","241030","Advogado (telecomunicações)"
"__export__.hr_cbo_11244","241035","Advogado trabalhista"
"__export__.hr_cbo_11256","241020","Advogado tributarista"
"__export__.hr_cbo_11270","241030","Advogados (direito eletrônico)"
"__export__.hr_cbo_13284","511105","Aeromoça"
"__export__.hr_cbo_15091","721315","Afiador - na fabricação"
"__export__.hr_cbo_15095","721315","Afiador, a máquina"
"__export__.hr_cbo_15082","721310","Afiador ambulante"
"__export__.hr_cbo_15092","721315","Afiador de brocas e coroas"
"__export__.hr_cbo_19117","721305","Afiador de cardas"
"__export__.hr_cbo_19116","721310","Afiador de cutelaria"
"__export__.hr_cbo_15083","721310","Afiador de facas"
"__export__.hr_cbo_15084","721310","Afiador de facas ( inclusive ambulante)"
"__export__.hr_cbo_19115","721315","Afiador de ferramentas"
"__export__.hr_cbo_15060","721320","Afiador de lâminas"
"__export__.hr_cbo_19114","721320","Afiador de serras"
"__export__.hr_cbo_15093","721315","Afiador de talhadeira"
"__export__.hr_cbo_15085","721310","Afiador de tesouras ( inclusive ambulante)"
"__export__.hr_cbo_15061","721320","Afiador e laminador de serras"
"__export__.hr_cbo_15094","721315","Afiador manual"
"__export__.hr_cbo_19263","742105","Afinador de instrumentos musicais"
"__export__.hr_cbo_17236","914425","Afinador de motores a diesel"
"__export__.hr_cbo_17245","914405","Afinador de motores de automóveis"
"__export__.hr_cbo_17111","911120","Afinador de motores diesel  (exceto de veículos automotores)"
"__export__.hr_cbo_17259","915210","Afinador de piano"
"__export__.hr_cbo_15359","725010","Afinador mecânico"
"__export__.hr_cbo_18364","342120","Afretador"
"__export__.hr_cbo_11866","263105","Agaipi"
"__export__.hr_cbo_11796","263115","Agbá"
"__export__.hr_cbo_11867","263105","Agbagigan"
"__export__.hr_cbo_12441","342120","Agenciador de cargas"
"__export__.hr_cbo_18432","354110","Agenciador de propaganda"
"__export__.hr_cbo_13021","411010","Agente administrativo"
"__export__.hr_cbo_12970","410105","Agente administrativo supervisor"
"__export__.hr_cbo_18698","515105","Agente comunitário de saúde"
"__export__.hr_cbo_13554","517335","Agente da guarda portuária"
"__export__.hr_cbo_18706","515310","Agente de ação social"
"__export__.hr_cbo_13456","515325","Agente de apoio socioeducativo"
"__export__.hr_cbo_12440","342120","Agente de carga"
"__export__.hr_cbo_13232","424105","Agente de coleta ( censo e pesquisas amostrais)"
"__export__.hr_cbo_13389","514205","Agente de coleta de lixo"
"__export__.hr_cbo_13128","420120","Agente de coleta supervisor"
"__export__.hr_cbo_12434","342105","Agente de comércio exterior"
"__export__.hr_cbo_18416","352205","Agente de defesa ambiental"
"__export__.hr_cbo_12572","352205","Agente de defesa florestal"
"__export__.hr_cbo_18422","352405","Agente de direitos autorais"
"__export__.hr_cbo_18373","342405","Agente de estação (ferrovia e metrô)"
"__export__.hr_cbo_16277","783105","Agente de estação (manobras)"
"__export__.hr_cbo_12488","342605","Agente de estação portuária"
"__export__.hr_cbo_12570","352205","Agente de fiscalização ambiental"
"__export__.hr_cbo_18073","254310","Agente de higiene e segurança"
"__export__.hr_cbo_12571","352205","Agente de inspeção de pesca"
"__export__.hr_cbo_12940","391205","Agente de inspeção (qualidade)"
"__export__.hr_cbo_18414","351905","Agente de inteligência"
"__export__.hr_cbo_13530","517110","Agente de investigação de incêndio"
"__export__.hr_cbo_12542","351805","Agente de investigação privada"
"__export__.hr_cbo_17703","215105","Agente de manobra e docagem"
"__export__.hr_cbo_17205","914305","Agente de manutenção de veículos ferroviários"
"__export__.hr_cbo_18559","411050","Agente de microcrédito"
"__export__.hr_cbo_13037","411050","Agente de microfinanças"
"__export__.hr_cbo_10342","141605","Agente de navio - no transporte marítimo"
"__export__.hr_cbo_12427","334110","Agente de organização escolar"
"__export__.hr_cbo_13141","421120","Agente de passagens"
"__export__.hr_cbo_13142","421120","Agente de passagens aéreas"
"__export__.hr_cbo_11868","263105","Agente de pastoral"
"__export__.hr_cbo_19559","783105","Agente de pátio"
"__export__.hr_cbo_12478","342405","Agente de pátio e terminais (ferrovia e metrô)"
"__export__.hr_cbo_13235","424105","Agente de pesquisa"
"__export__.hr_cbo_18742","517205","Agente de polícia federal"
"__export__.hr_cbo_13590","517415","Agente de portaria"
"__export__.hr_cbo_18752","517305","Agente de proteção de aeroporto"
"__export__.hr_cbo_18383","342550","Agente de proteção de aviação civil"
"__export__.hr_cbo_13464","515310","Agente de proteção social"
"__export__.hr_cbo_13452","515310","Agente de proteção social de rua"
"__export__.hr_cbo_11437","253115","Agente de publicidade"
"__export__.hr_cbo_18390","351315","Agente de recrutamento e seleção"
"__export__.hr_cbo_13143","421120","Agente de reserva de passagens aéreas"
"__export__.hr_cbo_13144","421120","Agente de reserva de passagens rodoviárias"
"__export__.hr_cbo_12604","354810","Agente de reservas"
"__export__.hr_cbo_12564","352210","Agente de saneamento"
"__export__.hr_cbo_13422","515105","Agente de saúde"
"__export__.hr_cbo_18417","352210","Agente de saúde pública"
"__export__.hr_cbo_18749","517310","Agente de segurança"
"__export__.hr_cbo_13581","517330","Agente de segurança ferroviária"
"__export__.hr_cbo_18750","517315","Agente de segurança penitenciária"
"__export__.hr_cbo_13465","515325","Agente de segurança socioeducativa"
"__export__.hr_cbo_13292","511205","Agente de serviços de fiscalização de transportes coletivos e licenciamento de veículos"
"__export__.hr_cbo_13179","422105","Agente de tráfego"
"__export__.hr_cbo_18745","517220","Agente de trânsito"
"__export__.hr_cbo_12439","342120","Agente de transporte"
"__export__.hr_cbo_13538","517220","Agente de transporte e trânsito"
"__export__.hr_cbo_13145","421120","Agente de venda de passagens"
"__export__.hr_cbo_18437","354120","Agente de vendas de serviços"
"__export__.hr_cbo_18451","354815","Agente de viagem"
"__export__.hr_cbo_13457","515325","Agente educacional"
"__export__.hr_cbo_12425","334110","Agente educador"
"__export__.hr_cbo_11436","253115","Agente em RTV (rádio e televisão)"
"__export__.hr_cbo_18420","352310","Agente fiscal de qualidade"
"__export__.hr_cbo_18421","352315","Agente fiscal metrológico"
"__export__.hr_cbo_18418","352320","Agente fiscal têxtil"
"__export__.hr_cbo_18732","516505","Agente funerário"
"__export__.hr_cbo_13513","516505","Agente funerário - tanatopraxista"
"__export__.hr_cbo_18694","515130","Agente indígena de saneamento"
"__export__.hr_cbo_18695","515125","Agente indígena de saúde"
"__export__.hr_cbo_13134","421110","Agente operacional de estação"
"__export__.hr_cbo_13546","517315","Agente penitenciário"
"__export__.hr_cbo_12547","351810","Agente policial"
"__export__.hr_cbo_18062","253115","Agente publicitário"
"__export__.hr_cbo_12469","342310","Agente rodoviário"
"__export__.hr_cbo_12566","352210","Agente sanitarista"
"__export__.hr_cbo_13458","515310","Agente social"
"__export__.hr_cbo_18415","351910","Agente técnico de inteligência"
"__export__.hr_cbo_17053","862205","Agente técnico de operação na captação, tratamento e distribuição de água"
"__export__.hr_cbo_11869","263105","Agonjaí"
"__export__.hr_cbo_14001","621005","Agregado - na agropecuária"
"__export__.hr_cbo_13711","612005","Agricultor familiar polivalente"
"__export__.hr_cbo_13730","612110","Agricultor na produção da cana-de-açúcar"
"__export__.hr_cbo_13743","612105","Agricultor na produção de arroz"
"__export__.hr_cbo_13732","612115","Agricultor na produção de cereais de inverno"
"__export__.hr_cbo_13745","612120","Agricultor na produção de gramíneas forrageiras"
"__export__.hr_cbo_13752","612125","Agricultor na produção de milho e sorgo"
"__export__.hr_cbo_13718","612005","Agricultor polivalente"
"__export__.hr_cbo_13716","612005","Agricultor polivalente - conta própria"
"__export__.hr_cbo_13710","612005","Agricultor polivalente - empregador"
"__export__.hr_cbo_10685","214805","Agrimensor"
"__export__.hr_cbo_10750","222110","Agrônomo"
"__export__.hr_cbo_13701","611005","Agropecuarista"
"__export__.hr_cbo_10458","203025","Agrostólogo"
"__export__.hr_cbo_12258","321105","Agrotécnico"
"__export__.hr_cbo_16799","841705","Aguardenteiro (fabricação)"
"__export__.hr_cbo_15104","722105","Aguilhoeiro"
"__export__.hr_cbo_13342","513435","Ajudante, auxiliar de bar"
"__export__.hr_cbo_13341","513435","Ajudante, auxiliar de lanchonete"
"__export__.hr_cbo_17195","914105","Ajudante, auxiliar de mecânico de avião"
"__export__.hr_cbo_15137","722215","Ajudante de acabamento de fundição"
"__export__.hr_cbo_16925","848510","Ajudante de açougueiro (comércio)"
"__export__.hr_cbo_15065","721320","Ajudante de afiação de serras"
"__export__.hr_cbo_15096","721315","Ajudante de afiador"
"__export__.hr_cbo_16600","823235","Ajudante de banhos (vidros)"
"__export__.hr_cbo_14284","623110","Ajudante de boiadeiro"
"__export__.hr_cbo_14753","712120","Ajudante de britador"
"__export__.hr_cbo_13466","516110","Ajudante de cabeleireiro"
"__export__.hr_cbo_15464","732110","Ajudante de cabista"
"__export__.hr_cbo_14834","715205","Ajudante de calceteiro"
"__export__.hr_cbo_16295","783225","Ajudante de carga e descarga de mercadoria"
"__export__.hr_cbo_18968","632615","Ajudante de carvoaria"
"__export__.hr_cbo_13374","513505","Ajudante de churrasqueiro"
"__export__.hr_cbo_16059","772105","Ajudante de classificador de folhas (madeira)"
"__export__.hr_cbo_16060","772105","Ajudante de classificador de madeira"
"__export__.hr_cbo_19382","763125","Ajudante de confecção"
"__export__.hr_cbo_13367","513505","Ajudante de confeiteiro"
"__export__.hr_cbo_13380","513505","Ajudante de cozinha"
"__export__.hr_cbo_14424","632120","Ajudante de derrubada"
"__export__.hr_cbo_18368","342205","Ajudante de despachante aduaneiro"
"__export__.hr_cbo_12449","342205","Ajudante de despachante alfandegário"
"__export__.hr_cbo_16438","811615","Ajudante de destilação de amônia"
"__export__.hr_cbo_14874","715615","Ajudante de eletricista"
"__export__.hr_cbo_16321","784105","Ajudante de embalador"
"__export__.hr_cbo_16298","783220","Ajudante de embarque de carga"
"__export__.hr_cbo_16322","784105","Ajudante de encaixotador"
