"id","active","bic","name","country/id"
"__export__.res_bank_51","True","250","BCV - Banco de Crédito e Varejo S.A.","base.br"
"__export__.res_bank_28","True","078","BES Investimento do Brasil S.A.-Banco de Investimento","base.br"
"__export__.res_bank_23","True","069","BPN Brasil Banco Múltiplo S.A.","base.br"
"__export__.res_bank_35","True","125","Brasil Plural S.A. - Banco Múltiplo","base.br"
"__export__.res_bank_24","True","070","BRB - Banco de Brasília S.A.","base.br"
"__export__.res_bank_32","True","104","Caixa Econômica Federal","base.br"
"__export__.res_bank_71","True","477","Citibank S.A.","base.br"
"__export__.res_bank_104","True","081","Concórdia Banco S.A.","base.br"
"__export__.res_bank_73","True","487","Deutsche Bank S.A. - Banco Alemão","base.br"
"__export__.res_bank_21","True","064","Goldman Sachs do Brasil Banco Múltiplo S.A.","base.br"
"__export__.res_bank_19","True","062","Hipercard Banco Múltiplo S.A.","base.br"
"__export__.res_bank_64","True","399","HSBC Bank Brasil S.A. - Banco Múltiplo","base.br"
"__export__.res_bank_75","True","492","ING Bank N.V.","base.br"
"__export__.res_bank_88","True","652","Itaú Unibanco Holding S.A.","base.br"
"__export__.res_bank_56","True","341","Itaú Unibanco S.A.","base.br"
"__export__.res_bank_74","True","488","JPMorgan Chase Bank","base.br"
"__export__.res_bank_100","True","751","Scotiabank Brasil S.A. Banco Múltiplo","base.br"
"__export__.res_bank_65","True","409","UNIBANCO - União de Bancos Brasileiros S.A.","base.br"
"__export__.res_bank_45","True","230","Unicard Banco Múltiplo S.A.","base.br"
